sample,control,genome,replicate,fastq_1,fastq_2
H3K4me1_WT_PP,ChIPseq_input_WT_PP,hg38,1,GSM4387094_1.fastq.gz,GSM4387094_2.fastq.gz
H3K4me1_WT_PP,ChIPseq_input_WT_PP,hg38,2,GSM4387095_1.fastq.gz,GSM4387095_2.fastq.gz
H3K4me1_TKO_PP,ChIPseq_input_TKO_PP,hg38,1,GSM4387096_1.fastq.gz,GSM4387096_2.fastq.gz
H3K4me1_TKO_PP,ChIPseq_input_TKO_PP,hg38,2,GSM4387097_1.fastq.gz,GSM4387097_2.fastq.gz
H3K27ac_WT_PP,ChIPseq_input_WT_PP,hg38,1,GSM4387098_1.fastq.gz,GSM4387098_2.fastq.gz
H3K27ac_WT_PP,ChIPseq_input_WT_PP,hg38,2,GSM4387099_1.fastq.gz,GSM4387099_2.fastq.gz
H3K27ac_TKO_PP,ChIPseq_input_TKO_PP,hg38,1,GSM4387100_1.fastq.gz,GSM4387100_2.fastq.gz
H3K27ac_TKO_PP,ChIPseq_input_TKO_PP,hg38,2,GSM4387101_1.fastq.gz,GSM4387101_2.fastq.gz
ChIPseq_input_WT_PP,,hg38,1,GSM4387102_1.fastq.gz,GSM4387102_2.fastq.gz
ChIPseq_input_WT_PP,,hg38,2,GSM4387103_1.fastq.gz,GSM4387103_2.fastq.gz
ChIPseq_input_TKO_PP,,hg38,1,GSM4387104_1.fastq.gz,GSM4387104_2.fastq.gz
ChIPseq_input_TKO_PP,,hg38,2,GSM4387105_1.fastq.gz,GSM4387105_2.fastq.gz
FOXA2_ChIP_WT_DE,FOXA2_input_WT_DE,hg38,1,GSM5360706_1.fastq.gz,GSM5360706_2.fastq.gz
FOXA2_ChIP_WT_DE,FOXA2_input_WT_DE,hg38,2,GSM5360707_1.fastq.gz,GSM5360707_2.fastq.gz
FOXA2_ChIP_WT_GT,FOXA2_input_WT_GT,hg38,1,GSM5360708_1.fastq.gz,GSM5360708_2.fastq.gz
FOXA2_ChIP_WT_GT,FOXA2_input_WT_GT,hg38,2,GSM5360709_1.fastq.gz,GSM5360709_2.fastq.gz
FOXA2_ChIP_WT_PP,FOXA2_input_WT_PP,hg38,1,GSM5360710_1.fastq.gz,GSM5360710_2.fastq.gz
FOXA2_ChIP_WT_PP,FOXA2_input_WT_PP,hg38,2,GSM5360711_1.fastq.gz,GSM5360711_2.fastq.gz
FOXA2_ChIP_TKO_DE,FOXA2_input_TKO_DE,hg38,1,GSM5360712_1.fastq.gz,GSM5360712_2.fastq.gz
FOXA2_ChIP_TKO_DE,FOXA2_input_TKO_DE,hg38,2,GSM5360713_1.fastq.gz,GSM5360713_2.fastq.gz
FOXA2_ChIP_TKO_PP,FOXA2_input_TKO_PP,hg38,1,GSM5360714_1.fastq.gz,GSM5360714_2.fastq.gz
FOXA2_ChIP_TKO_PP,FOXA2_input_TKO_PP,hg38,2,GSM5360715_1.fastq.gz,GSM5360715_2.fastq.gz
FOXA2_input_WT_DE,,hg38,1,GSM5360716_1.fastq.gz,GSM5360716_2.fastq.gz
FOXA2_input_WT_GT,,hg38,1,GSM5360717_1.fastq.gz,GSM5360717_2.fastq.gz
FOXA2_input_WT_PP,,hg38,1,GSM5360718_1.fastq.gz,GSM5360718_2.fastq.gz
FOXA2_input_TKO_DE,,hg38,1,GSM5360719_1.fastq.gz,GSM5360719_2.fastq.gz
FOXA2_input_TKO_PP,,hg38,1,GSM5360720_1.fastq.gz,GSM5360720_2.fastq.gz
